Org,Grant.ID,Discipline,Awarded?,HPSA,PC_Score,PC,PM,PT,Grads,FinalScore,Funds Awarded,Positions Awarded
John Muir Health Family Medicine Residency Program,2253183-2223,Family Medicine,Awarded,0,2,Contra Costa County,6,3,9,20,150000,1
San Joaquin General Hospital Family Medicine Residency Program,2253195-2223,Family Medicine,Awarded,2,3,San Joaquin County,10,3,10,28,450000,3
HCA Healthcare Riverside Family Medicine Residency Program,2253193-2223,Family Medicine,Awarded,2,3,Riverside County,10,3,7,25,150000,1
St. Joseph's Medical Center Internal Medicine Residency Program,2253262-2223,Internal Medicine,Awarded,1,3,San Joaquin County,4,5,5,18,225000,1
St. Joseph Health Family Medicine Residency Program,2253198-2223,Family Medicine,Not Awarded,2,2,Humboldt County,4,3,2,13,0,0
St. Joseph's Medical Center Family Medicine Residency Program,2253199-2223,Family Medicine,Awarded,1,3,San Joaquin County,10,4,6,24,180000,1
St. Joseph's Medical Center Emergency Medicine Residency Program,2253165-2223,Emergency Medicine,Awarded,1,3,San Joaquin County,4,4,5,17,180000,1
Adventist Health Glendale Family Medicine Residency Program,2253278-2223,Family Medicine,Awarded,0,2,Los Angeles County,6,3,10,21,150000,1
Children's Hospital Los Angeles Pediatric Residency Program,2253234-2223,Pediatrics,Awarded,2,2,Los Angeles County,6,3,8,21,300000,2
UCLA David Geffen School of Medicine/UCLA Medical Center Pediatrics Residency Program,2253242-2223,Pediatrics,Awarded,0,2,Los Angeles County,6,3,7,18,150000,1
University of California (San Francisco)/Fresno Family Medicine Residency Program,2253204-2223,Family Medicine,Awarded,2,3,Fresno County,10,3,9,27,300000,2
University of California (San Francisco) Family Medicine Residency Program,2253292-2223,Family Medicine,Awarded,1,1,San Francisco County,10,3,9,24,150000,1
Pomona Valley Hospital Medical Center Family Medicine Residency Program,2253192-2223,Family Medicine,Awarded,0,2,Los Angeles County,6,3,8,19,150000,1
Loma Linda University Medical Center - Murrieta Internal Medicine Residency Program,2284863-2223,Internal Medicine,Awarded,0,3,Riverside County,7,5,5,20,225000,1
LA County-Harbor-UCLA Medical Center Pediatric Residency Program,2253238-2223,Pediatrics,Awarded,1,2,Los Angeles County,10,3,7,23,450000,3
Ventura County Medical Center Family Medicine Residency Program,2253209-2223,Family Medicine,Awarded,0,2,Ventura County,6,3,8,19,150000,1
Kaiser Permanente Northern California (Oakland) Obstetrics and Gynecology Residency Program,2253235-2223,Obstetrics and Gynecology,Not Awarded,0,1,Alameda County,0,3,7,11,0,0
Marian Regional Medical Center Obstetrics and Gynecology Residency Program,2253245-2223,Obstetrics and Gynecology,Awarded,1,2,Santa Barbara County,6,3,6,18,200000,1
AltaMed Health Services Corporation Family Medicine Residency Program,2253259-2223,Family Medicine,Awarded,2,2,Los Angeles County,8,5,8,25,225000,1
Prime West Consortium/West Anaheim Medical Center Internal Medicine Residency Program,2253222-2223,Internal Medicine,Awarded,1,2,Orange County,6,3,8,20,150000,1
Kaweah Delta Healthcare District Emergency Medicine Residency Program,2253185-2223,Emergency Medicine,Awarded,1,3,Tulare County,2,3,9,18,150000,1
UHS Southern California Medical Education Consortium Family Medicine Residency Program,2253265-2223,Family Medicine,Awarded,2,3,Riverside County,10,5,4,24,225000,1
Family Health Centers of San Diego Family Medicine Residency Program,2253182-2223,Family Medicine,Awarded,2,2,San Diego County,10,3,8,25,150000,1
Riverside University Health System Internal Medicine Residency Program,2253275-2223,Internal Medicine,Awarded,2,3,Riverside County,10,5,5,25,450000,2
San Ysidro Health Internal Medicine Residency Program,2253263-2223,Internal Medicine,Awarded,1,2,San Diego County,10,5,5,23,225000,1
Shasta Community Health Center Family Medicine Residency Program,2253197-2223,Family Medicine,Awarded,2,2,Shasta County,10,3,7,24,150000,1
LifeLong Medical Care Family Medicine Residency Program,2253261-2223,Family Medicine,Awarded,2,2,Contra Costa County,10,5,8,27,450000,2
Sutter Roseville Emergency Medicine Residency Program,2284864-2223,Emergency Medicine,Awarded,0,1,Placer County,5,5,8,19,225000,1
UCSF Benioff Children's Hospital Oakland Pediatric Residency Program,2253258-2223,Pediatrics,Awarded,1,1,Alameda County,10,3,8,23,450000,3
Kern Medical Center Obstetrics and Gynecology Residency Program,2253239-2223,Obstetrics and Gynecology,Awarded,2,3,Kern County,6,3,6,20,200000,1
University of California (San Francisco)/Fresno Obstetrics and Gynecology Residency Program,2253254-2223,Obstetrics and Gynecology,Awarded,2,3,Fresno County,10,3,5,23,600000,3
University of California (San Francisco)/Fresno Pediatric Residency Program,2253249-2223,Pediatrics,Awarded,2,3,Fresno County,10,3,8,26,750000,5
Kaiser Permanente Los Angeles Pediatric Residency Program,2253236-2223,Pediatrics,Awarded,1,2,Los Angeles County,0,4,8,15,180000,1
St. Agnes Medical Center (Fresno) Emergency Medicine Residency Program,2253277-2223,Emergency Medicine,Awarded,1,3,Fresno County,2,5,8,19,225000,1
Sutter Santa Rosa Regional Hospital/University of California (San Francisco) Family Medicine Residency Program,2253201-2223,Family Medicine,Awarded,2,2,Sonoma County,10,3,9,26,300000,2
University of California (San Francisco)/San Francisco General Hospital Emergency Medicine Residency Program,2253169-2223,Emergency Medicine,Awarded,1,1,San Francisco County,8,4,9,23,480000,2
UC Irvine Family Medicine Residency Program,2253203-2223,Family Medicine,Awarded,2,2,Orange County,10,3,10,27,300000,2
"Valley Health Team, Inc. Family Medicine Residency Program",2253208-2223,Family Medicine,Awarded,2,3,Fresno County,8,3,8,24,150000,1
